Gene	VarianceMedian_Islands	VarianceMedian_PocilloGG	VarianceMedian_SymbioGG	sd_Islands	sd_PocilloGG	sd_SymbioGG	Q1_Islands	Q1_PocilloGG	Q1_SymbioGG	Q3_Islands	Q3_PocilloGG	Q3_SymbioGG	Residuals
Pmea_00034949	0.1109	0	0.5137	0.00776255815378597	0	0.0141259806488941	0.1095	0	0.5131	0.1129	0	0.517025	0.3754
Pmea_00019953	0.51365	0.0673	0	0.0180490559365863	0.0142131776599014	0	0.51045	0.064275	0	0.51885	0.0709	0	0.41905
Pmea_00024559	0.51335	0	0.1122	0.0181966548152304	0.0192238718127943	0.0324990877882858	0.5057	0	0.094775	0.5238	0.012725	0.1195	0.37445
Pmea_00010305	0.5133	0	0	0.0131902031290598	0.000712301008894925	0	0.51055	0	0	0.5187	0	0	0.4867
Pmea_00019120	0.008	0.5133	0	0.00556716165463954	0.00732079506638728	0	0.0068	0.510875	0	0.010575	0.51635	0	0.4787
Pmea_00021024	0.5133	0	0.0228	0.0109806199802887	0.00411504556475381	0.00584529889671343	0.507775	0	0.0194	0.51905	0	0.024725	0.4639
Pmea_00030352	0.5133	0.0106	0.0187	0.0145182539228964	0.0124547017611662	0.00702190828476106	0.50065	0.00525	0.01485	0.519025	0.0172	0.0223	0.4574
Pmea_00023656	0.51325	0	0	0.0128912939065812	0.0101899520225672	0	0.508375	0	0	0.516575	0.012525	0	0.48675
Pmea_00025821	0.51315	0	0	0.0113331593569534	0	0	0.508175	0	0	0.52145	0	0	0.48685
Pmea_00028395	0.0844	0.0214	0.51315	0.00848599672425346	0.0104923252374719	0.0310839485031335	0.08295	0.0188	0.509825	0.087475	0.023225	0.51775	0.38105
Pmea_00013851	0.51295	0	0.0167	0.00908784491793986	0.0023446909727245	0.00660371880232661	0.508375	0	0.013275	0.52235	0	0.0212	0.47035
Pmea_00000985	0.0959	0	0.5129	0.0116007339980248	0	0.0190031518916779	0.092375	0	0.509425	0.101425	0	0.5177	0.3912
Pmea_00033650	0.5129	0	0.01875	0.0137000792963863	0	0.00874458094819849	0.506975	0	0.014425	0.523075	0	0.02185	0.46835
Pmea_00000360	0.5128	0	0.0293	0.0100584089650944	0.00289686350762651	0.0159074235893977	0.5074	0	0.02495	0.519925	0	0.036175	0.4579
Pmea_00010649	0.5128	0	0.1572	0.0312729266040746	0	0.0311564364833887	0.507225	0	0.15225	0.5204	0	0.16585	0.33
Pmea_00001644	0.5127	0	0.0108	0.0093255649489005	0	0.00582465423606389	0.508375	0	0.0079	0.5191	0	0.013375	0.4765
Pmea_00015821	0.5127	0	0	0.0109561168284934	0	0.00692309121124313	0.508	0	0	0.518225	0	0	0.4873
Pmea_00033928	0.51265	0	0.03075	0.0139319823543971	0	0.00788181765171902	0.5089	0	0.026525	0.525425	0	0.034	0.4566
Pmea_00017636	0.5125	0.2024	0	0.0124778509221886	0.0201160112870571	0	0.510475	0.201	0	0.517775	0.207025	0	0.2851
Pmea_00032096	0.5125	0	0.11105	0.0159517596952103	0.0517438577236102	0.0418115961272357	0.5079	0	0.1066	0.516225	0	0.115225	0.37645
Pmea_00033640	0.05425	0.5124	0.0516	0.0163787147841275	0.00844849989673022	0.0195306230408463	0.04745	0.509275	0.038425	0.065925	0.51635	0.063875	0.38175
Pmea_00010101	0.5123	0.147	0	0.0212404393228168	0.0263970211626734	0	0.509475	0.145175	0	0.516725	0.149625	0	0.3407
Pmea_00009904	0.5121	0	0.04385	0.0171920114170988	0.00665838546268515	0.0110958364654805	0.5084	0	0.039425	0.51865	0	0.04925	0.44405
Pmea_00024929	0.5121	0	0	0.0105344293158244	0	0.00255400873257329	0.507675	0	0	0.518125	0	0.001075	0.4879
Pmea_00035356	0.1243	0.5121	0	0.00965168724455298	0.00853722946093678	0.00560467436587307	0.1211	0.5101	0	0.128925	0.519125	0	0.3636
Pmea_00006924	0.51205	0.07305	0	0.0148704646256201	0.0108909683182484	0	0.50865	0.0695	0	0.521125	0.0763	0	0.4149
Pmea_00035036	0.0133	0.1465	0.51195	0.00872075030364853	0.00751437215533599	0.0201695052096981	0.005025	0.143875	0.4974	0.01985	0.149425	0.5287	0.32825
Pmea_00033644	0.5119	0.009	0.02135	0.010332892023812	0.00942895063625906	0.0101803575972596	0.507525	0.004375	0.017325	0.51875	0.015275	0.026	0.45775
Pmea_00009076	0.51185	0.05845	0	0.0124977038295081	0.0131535916668176	0	0.508475	0.055875	0	0.518625	0.062325	0	0.4297
Pmea_00024626	0.2269	0.51185	0.00235	0.0443360504521656	0.0423372048337076	0.0679471666707734	0.2183	0.507475	0	0.2325	0.517025	0.0075	0.2589
Pmea_00021993	0.5118	0	0	0.00919267049932124	0.00197548101801188	0.00409550270714627	0.5078	0	0	0.518075	0	0	0.4882
Pmea_00034846	0.13295	0.5118	0.0396	0.0098399035061377	0.113061764201	0.0963026081807977	0.1309	0.501675	0.037075	0.135325	0.52005	0.0441	0.31565
Pmea_00035512	0.0413	0.5118	0	0.00788319885848532	0.0125518590920495	0	0.038275	0.508575	0	0.0451	0.5154	0	0.4469
Pmea_00006473	0.29665	0.51175	0	0.0680679792411953	0.0845993914059825	0.0963282691549258	0.2905	0.5082	0	0.3008	0.513425	0.003125	0.1916
Pmea_00003683	0.51175	0	0	0.0119232350619886	0.0124169605008959	0	0.5081	0	0	0.519175	0	0	0.48825
Pmea_00010700	0.07965	0.03805	0.51175	0.0667310634130944	0.0185581351379383	0.0747140757498312	0.060975	0.024	0.461625	0.127475	0.046675	0.5363	0.37055
Pmea_00026188	0.5116	0	0	0.0104390863701008	0	0	0.5096	0	0	0.515175	0	0	0.4884
Pmea_00027471	0.5116	0.13635	0	0.0157381150925601	0.0124601334363852	0	0.5083	0.133425	0	0.5154	0.13895	0	0.35205
Pmea_00028102	0.51155	0.2197	0.0083	0.0180430090829572	0.014837443625279	0.00481820789015244	0.5096	0.2159	0.006975	0.51515	0.223	0.01115	0.26045
Pmea_00024355	0	0	0.5115	0	0	0.012331647550637	0	0	0.507525	0	0	0.514425	0.4885
Pmea_00019371	0.0052	0.51145	0	0.00670752750665439	0.0208878885936083	0.019640389327335	0.002425	0.50715	0	0.009975	0.516125	0	0.48335
Pmea_00005990	0.0278	0	0.5112	0.00819168684297278	0.00348128677011211	0.0112813234412394	0.023975	0	0.507175	0.034025	0	0.51905	0.461
