Colony,Ile,Site,IleSite,Clade,SymClade,Holobiotype,IleHolobiotype,Prop,SymCladeOrig
I10S03C10POC,I10,S03,I10S03,SVD2,Group5,SVD2_Group5,I10_SVD2_Group5,1,Group5
I15S01C01POC,I15,S01,I15S01,SVD2,Group5,SVD2_Group5,I15_SVD2_Group5,1,Group5
I15S01C06POC,I15,S01,I15S01,SVD3,Group3,SVD3_Group3,I15_SVD3_Group3,1,Group3
I15S01C10POC,I15,S01,I15S01,SVD3,Group3,SVD3_Group3,I15_SVD3_Group3,1,Group3
I15S02C01POC,I15,S02,I15S02,SVD3,Group3,SVD3_Group3,I15_SVD3_Group3,1,Group3
I15S02C06POC,I15,S02,I15S02,SVD2,Group5,SVD2_Group5,I15_SVD2_Group5,1,Group5
I15S02C10POC,I15,S02,I15S02,SVD3,D1,SVD3_D1,I15_SVD3_D1,1,D1
I15S03C01POC,I15,S03,I15S03,SVD3,Group3,SVD3_Group3,I15_SVD3_Group3,1,Group3
I15S03C06POC,I15,S03,I15S03,SVD2,Group5,SVD2_Group5,I15_SVD2_Group5,1,Group5
I15S03C10POC,I15,S03,I15S03,SVD3,Group3,SVD3_Group3,I15_SVD3_Group3,1,Group3
