Tube_ID	Species_haplotype
C63	Haplotype 1a_Pe
D54	Haplotype 1a_Pe
D74	Haplotype 1a_Pe
D82	Haplotype 1a_Pe
E17	Haplotype 1a_Pe
E20	Haplotype 1a_Pe
F23	Haplotype 1a_Pe
G01	Haplotype 1a_Pe
G05	Haplotype 1a_Pe
G10	Haplotype 1a_Pe
G20	Haplotype 1a_Pe
H13	Haplotype 1a_Pe
H14	Haplotype 1a_Pe
H15	Haplotype 1a_Pe
J35	Haplotype 1a_Pe
J44	Haplotype 1a_Pe
11A34	Haplotype 1a_Pm
11B14	Haplotype 1a_Pm
11C11	Haplotype 1a_Pm
11C22	Haplotype 1a_Pm
11C30	Haplotype 1a_Pm
12B40	Haplotype 1a_Pm
12C21	Haplotype 1a_Pm
12C29	Haplotype 1a_Pm
13A28	Haplotype 1a_Pm
13B03	Haplotype 1a_Pm
13B19	Haplotype 1a_Pm
13C16	Haplotype 1a_Pm
13C69	Haplotype 1a_Pm
13C71	Haplotype 1a_Pm
13C72	Haplotype 1a_Pm
14A48	Haplotype 1a_Pm
14B53	Haplotype 1a_Pm
14B59	Haplotype 1a_Pm
14C58	Haplotype 1a_Pm
14C68	Haplotype 1a_Pm
15B60	Haplotype 1a_Pm
15B67	Haplotype 1a_Pm
15C41	Haplotype 1a_Pm
16A55	Haplotype 1a_Pm
21A39	Haplotype 1a_Pm
21C04	Haplotype 1a_Pm
21C30	Haplotype 1a_Pm
21C40	Haplotype 1a_Pm
21D03	Haplotype 1a_Pm
21D36	Haplotype 1a_Pm
21D37	Haplotype 1a_Pm
22B16	Haplotype 1a_Pm
22C18	Haplotype 1a_Pm
22C21	Haplotype 1a_Pm
23A13	Haplotype 1a_Pm
23B06	Haplotype 1a_Pm
23C20	Haplotype 1a_Pm
23C27	Haplotype 1a_Pm
24B42	Haplotype 1a_Pm
25A71	Haplotype 1a_Pm
25B58	Haplotype 1a_Pm
25B59	Haplotype 1a_Pm
25C70	Haplotype 1a_Pm
25C74	Haplotype 1a_Pm
26A55	Haplotype 1a_Pm
26B62	Haplotype 1a_Pm
26B69	Haplotype 1a_Pm
26C63	Haplotype 1a_Pm
26C73	Haplotype 1a_Pm
41A52	Haplotype 1a_Pm
41A56	Haplotype 1a_Pm
41A69	Haplotype 1a_Pm
41B53	Haplotype 1a_Pm
41D59	Haplotype 1a_Pm
41D72	Haplotype 1a_Pm
41D75	Haplotype 1a_Pm
42A48	Haplotype 1a_Pm
42A73	Haplotype 1a_Pm
42A76	Haplotype 1a_Pm
42A77	Haplotype 1a_Pm
42B54	Haplotype 1a_Pm
42B64	Haplotype 1a_Pm
42C51	Haplotype 1a_Pm
42C88	Haplotype 1a_Pm
42D50	Haplotype 1a_Pm
42D60	Haplotype 1a_Pm
42D61	Haplotype 1a_Pm
42D78	Haplotype 1a_Pm
42D86	Haplotype 1a_Pm
42D87	Haplotype 1a_Pm
43A49	Haplotype 1a_Pm
43A58	Haplotype 1a_Pm
43A62	Haplotype 1a_Pm
43A80	Haplotype 1a_Pm
43A81	Haplotype 1a_Pm
43B66	Haplotype 1a_Pm
43B79	Haplotype 1a_Pm
43B82	Haplotype 1a_Pm
43B83	Haplotype 1a_Pm
43C14	Haplotype 1a_Pm
43C44	Haplotype 1a_Pm
43C89	Haplotype 1a_Pm
43D16	Haplotype 1a_Pm
43D27	Haplotype 1a_Pm
44A26	Haplotype 1a_Pm
44A36	Haplotype 1a_Pm
44C05	Haplotype 1a_Pm
44C24	Haplotype 1a_Pm
45A06	Haplotype 1a_Pm
45A32	Haplotype 1a_Pm
45B41	Haplotype 1a_Pm
45C33	Haplotype 1a_Pm
45C35	Haplotype 1a_Pm
46A25	Haplotype 1a_Pm
46A43	Haplotype 1a_Pm
46B11	Haplotype 1a_Pm
51C13	Haplotype 1a_Pm
51C27	Haplotype 1a_Pm
51C33	Haplotype 1a_Pm
51D09	Haplotype 1a_Pm
51D24	Haplotype 1a_Pm
52A02	Haplotype 1a_Pm
52A23	Haplotype 1a_Pm
52A25	Haplotype 1a_Pm
52A28	Haplotype 1a_Pm
52A34	Haplotype 1a_Pm
52B10	Haplotype 1a_Pm
52C36	Haplotype 1a_Pm
52D03	Haplotype 1a_Pm
53A22	Haplotype 1a_Pm
53B07	Haplotype 1a_Pm
53B12	Haplotype 1a_Pm
53B14	Haplotype 1a_Pm
53C39	Haplotype 1a_Pm
53C41	Haplotype 1a_Pm
53C47	Haplotype 1a_Pm
53D64	Haplotype 1a_Pm
53D65	Haplotype 1a_Pm
53D68	Haplotype 1a_Pm
54B48	Haplotype 1a_Pm
54B58	Haplotype 1a_Pm
54B67	Haplotype 1a_Pm
54D54	Haplotype 1a_Pm
54D62	Haplotype 1a_Pm
55D59	Haplotype 1a_Pm
56A61	Haplotype 1a_Pm
56B37	Haplotype 1a_Pm
56B55	Haplotype 1a_Pm
56B56	Haplotype 1a_Pm
56C70	Haplotype 1a_Pm
56D72	Haplotype 1a_Pm
A01	Haplotype 1a_Pm
A03	Haplotype 1a_Pm
A04	Haplotype 1a_Pm
A05	Haplotype 1a_Pm
A06	Haplotype 1a_Pm
A09	Haplotype 1a_Pm
A10	Haplotype 1a_Pm
A11	Haplotype 1a_Pm
A12	Haplotype 1a_Pm
A14	Haplotype 1a_Pm
A16	Haplotype 1a_Pm
A17	Haplotype 1a_Pm
A18	Haplotype 1a_Pm
A19	Haplotype 1a_Pm
A20	Haplotype 1a_Pm
A22	Haplotype 1a_Pm
A23	Haplotype 1a_Pm
A24	Haplotype 1a_Pm
A25	Haplotype 1a_Pm
A26	Haplotype 1a_Pm
A27	Haplotype 1a_Pm
A28	Haplotype 1a_Pm
A30	Haplotype 1a_Pm
A34	Haplotype 1a_Pm
A35	Haplotype 1a_Pm
A36	Haplotype 1a_Pm
A38	Haplotype 1a_Pm
A42	Haplotype 1a_Pm
A43	Haplotype 1a_Pm
A44	Haplotype 1a_Pm
A45	Haplotype 1a_Pm
A46	Haplotype 1a_Pm
A49	Haplotype 1a_Pm
A50	Haplotype 1a_Pm
A51	Haplotype 1a_Pm
A53	Haplotype 1a_Pm
C01	Haplotype 1a_Pm
C02	Haplotype 1a_Pm
C03	Haplotype 1a_Pm
C04	Haplotype 1a_Pm
C06	Haplotype 1a_Pm
C07	Haplotype 1a_Pm
C08	Haplotype 1a_Pm
C11	Haplotype 1a_Pm
C13	Haplotype 1a_Pm
C18	Haplotype 1a_Pm
C19	Haplotype 1a_Pm
C21	Haplotype 1a_Pm
C22	Haplotype 1a_Pm
C24	Haplotype 1a_Pm
C26	Haplotype 1a_Pm
C27	Haplotype 1a_Pm
C30	Haplotype 1a_Pm
C31	Haplotype 1a_Pm
C35	Haplotype 1a_Pm
C36	Haplotype 1a_Pm
C39	Haplotype 1a_Pm
C41	Haplotype 1a_Pm
C42	Haplotype 1a_Pm
C44	Haplotype 1a_Pm
C45	Haplotype 1a_Pm
C46	Haplotype 1a_Pm
C48	Haplotype 1a_Pm
C51	Haplotype 1a_Pm
C52	Haplotype 1a_Pm
C53	Haplotype 1a_Pm
C54	Haplotype 1a_Pm
C58	Haplotype 1a_Pm
C62	Haplotype 1a_Pm
C64	Haplotype 1a_Pm
C65	Haplotype 1a_Pm
C66	Haplotype 1a_Pm
C68	Haplotype 1a_Pm
C70	Haplotype 1a_Pm
D59	Haplotype 1a_Pm
D78	Haplotype 1a_Pm
E09	Haplotype 1a_Pm
E15	Haplotype 1a_Pm
E31	Haplotype 1a_Pm
E48	Haplotype 1a_Pm
G02	Haplotype 1a_Pm
G04	Haplotype 1a_Pm
G14	Haplotype 1a_Pm
G17	Haplotype 1a_Pm
G19	Haplotype 1a_Pm
G22	Haplotype 1a_Pm
G29	Haplotype 1a_Pm
G30	Haplotype 1a_Pm
G32	Haplotype 1a_Pm
G41	Haplotype 1a_Pm
H01	Haplotype 1a_Pm
H03	Haplotype 1a_Pm
H04	Haplotype 1a_Pm
H05	Haplotype 1a_Pm
H07	Haplotype 1a_Pm
H11	Haplotype 1a_Pm
H16	Haplotype 1a_Pm
H17	Haplotype 1a_Pm
H19	Haplotype 1a_Pm
H24	Haplotype 1a_Pm
H26	Haplotype 1a_Pm
H28	Haplotype 1a_Pm
H29	Haplotype 1a_Pm
H30	Haplotype 1a_Pm
H31	Haplotype 1a_Pm
H32	Haplotype 1a_Pm
H33	Haplotype 1a_Pm
H35	Haplotype 1a_Pm
H36	Haplotype 1a_Pm
H37	Haplotype 1a_Pm
H38	Haplotype 1a_Pm
H39	Haplotype 1a_Pm
H40	Haplotype 1a_Pm
H41	Haplotype 1a_Pm
H42	Haplotype 1a_Pm
H43	Haplotype 1a_Pm
H44	Haplotype 1a_Pm
J04	Haplotype 1a_Pm
J05	Haplotype 1a_Pm
J06	Haplotype 1a_Pm
J09	Haplotype 1a_Pm
J10	Haplotype 1a_Pm
J12	Haplotype 1a_Pm
J14	Haplotype 1a_Pm
J19	Haplotype 1a_Pm
J20	Haplotype 1a_Pm
J21	Haplotype 1a_Pm
J22	Haplotype 1a_Pm
J24	Haplotype 1a_Pm
J25	Haplotype 1a_Pm
J30	Haplotype 1a_Pm
J31	Haplotype 1a_Pm
J36	Haplotype 1a_Pm
J37	Haplotype 1a_Pm
J39	Haplotype 1a_Pm
J40	Haplotype 1a_Pm
J46	Haplotype 1a_Pm
J48	Haplotype 1a_Pm
J49	Haplotype 1a_Pm
J50	Haplotype 1a_Pm
J52	Haplotype 1a_Pm
J54	Haplotype 1a_Pm
43D12	Haplotype 2
F44	Haplotype 2
G39	Haplotype 2
H02	Haplotype 2
H06	Haplotype 2
J18	Haplotype 2
11C18	Haplotype 3a
15A51	Haplotype 3a
22B24	Haplotype 3a
41C67	Haplotype 3a
44B21	Haplotype 3a
E41	Haplotype 3a
F32	Haplotype 3a
13A08	Haplotype 3b
22C32	Haplotype 3b
25A68	Haplotype 3b
41D63	Haplotype 3b
42C85	Haplotype 3b
46C13	Haplotype 3b
C23	Haplotype 3b
D63	Haplotype 3b
D70	Haplotype 3b
D87	Haplotype 3b
D93	Haplotype 3b
E08	Haplotype 3b
E11	Haplotype 3b
E23	Haplotype 3b
E26	Haplotype 3b
E35	Haplotype 3b
E40	Haplotype 3b
E45	Haplotype 3b
F03	Haplotype 3b
F16	Haplotype 3b
F20	Haplotype 3b
F25	Haplotype 3b
56D73	Haplotype 3f
E37	Haplotype 3f
J16	Haplotype 3f
56D75	Haplotype 3h
E28	Haplotype 3h
